,year,title,n_steps,start_length,end_length,compression
380_2019,2019,38,7303,3971846.207145635,3053719.8746104473,0.7688414191658748
390_1994,1994,39,864,365983.1282206099,321278.85501400306,0.8778515462612809
390_1995,1995,39,876,366210.783240327,321697.4376578285,0.8784488397948499
390_1996,1996,39,896,369651.9424960861,324490.9115145013,0.8778282330220327
390_1997,1997,39,905,373558.9357163124,327701.02265918587,0.8772404869148898
390_1998,1998,39,915,376916.2949431641,330604.6496049652,0.8771301587128719
390_1999,1999,39,987,409327.2848783568,357822.11581449106,0.8741711804548481
390_2000,2000,39,999,419826.3596844143,366167.98647234257,0.8721891277803352
390_2001,2001,39,1015,421842.24381460354,367679.1454476651,0.8716034272026519
390_2002,2002,39,1172,468969.53856815817,403711.6347252562,0.8608483100157311
390_2003,2003,39,1175,471785.1091587104,406075.34565906576,0.8607209888060718
390_2004,2004,39,1170,474669.7858047428,408503.1004905172,0.8606048092948485
390_2005,2005,39,1170,474669.7858047428,408503.1004905172,0.8606048092948485
390_2006,2006,39,1316,563094.1518566796,482345.8221703656,0.856598884182931
390_2007,2007,39,1314,564070.5111653181,483171.4035636899,0.8565797963192615
390_2008,2008,39,1316,567786.7605169717,486151.22559563833,0.8562214891255937
390_2009,2009,39,1313,568577.2423030173,486716.1296699506,0.8560246409063279
390_2010,2010,39,1324,570156.1552846497,487506.0184146605,0.8550394727761446
390_2011,2011,39,1324,570156.1552846497,487506.0184146605,0.8550394727761446
390_2012,2012,39,1324,570156.1552846497,487506.0184146605,0.8550394727761446
390_2013,2013,39,1301,562641.7129937414,481425.79356580554,0.8556525093104157
390_2014,2014,39,1301,562675.1168694324,481459.2696694155,0.855661207035635
390_2015,2015,39,1303,562862.4108428344,481611.5783082622,0.8556470800512215
390_2016,2016,39,1302,567411.9960732633,485588.06499781704,0.8557944991616262
390_2017,2017,39,1302,567411.9960732633,485588.06499781704,0.8557944991616262
390_2018,2018,39,1302,567411.9960732633,485588.06499781704,0.8557944991616262
390_2019,2019,39,1308,562122.9384870525,481071.676181545,0.8558122133858191
400_1994,1994,40,2442,1065542.6553200143,894246.4054014351,0.8392403635243172
400_1995,1995,40,2458,1078462.6872839693,905466.2605072393,0.8395897894136616
400_1996,1996,40,2562,1111784.4667031923,932218.708602665,0.8384886967948032
400_1997,1997,40,2589,1125257.4677693304,942968.2783299312,0.8380022397889413
400_1998,1998,40,2606,1132009.7081220415,948565.75646449,0.8379484289389375
400_1999,1999,40,2602,1132841.3350460152,949337.0013941876,0.8380140907867086
400_2000,2000,40,2624,1145705.5365902486,959718.4726198076,0.83766591150117
400_2001,2001,40,2648,1176617.0379912287,982117.4067963026,0.8346958909187783
400_2002,2002,40,2022,864319.9583326494,724981.0519873743,0.8387878180968165
400_2003,2003,40,2043,871308.5534149172,730971.3532075972,0.838935128483134
400_2004,2004,40,2040,872323.7994694614,731817.0112821648,0.8389281729184147
400_2005,2005,40,2069,876470.4764497543,734933.8539610892,0.8385152423365408
400_2006,2006,40,2041,873285.2066993421,732347.5629465831,0.8386121250290668
400_2007,2007,40,2046,879725.2077627614,737747.7038350046,0.8386115315612914
400_2008,2008,40,2224,940982.632041014,785891.3028483499,0.8351815177967022
400_2009,2009,40,2238,942124.4134642542,786764.739853853,0.8350964358951984
400_2010,2010,40,2260,944804.9676103968,788313.2001246306,0.834366061938089
400_2011,2011,40,2260,944804.9676103968,788313.2001246306,0.834366061938089
400_2012,2012,40,2259,944732.1472789817,788255.7249095107,0.8343695376301584
400_2013,2013,40,2246,938615.3527209391,783945.6592694363,0.8352150398955941
400_2014,2014,40,2285,959330.7709358692,800832.0986937487,0.8347820407266848
400_2015,2015,40,2296,962560.6039911461,802693.3967266202,0.8339146578390441
400_2016,2016,40,2336,984427.277989662,820125.234982816,0.833098851809172
400_2017,2017,40,2346,984022.3651926685,819337.0175794131,0.8326406457428328
400_2018,2018,40,2353,991859.073304169,824556.2410918934,0.8313239887447502
400_2019,2019,40,2357,994563.8680419378,826650.5744267436,0.8311689183463139
410_1994,1994,41,1535,599199.7573997263,510369.11630284437,0.8517512065052073
410_1995,1995,41,1528,600174.2862493614,511271.10542054556,0.8518710600142603
410_1996,1996,41,1448,590907.2311631133,504890.59528298443,0.8544329272958501
410_1997,1997,41,1473,590072.792582184,505018.3828361642,0.8558577673547394
410_1998,1998,41,1475,590568.9633351524,505393.743743387,0.8557743043068997
410_1999,1999,41,1497,593809.3596133662,507684.14930649754,0.8549615143100044
410_2000,2000,41,1514,595562.8869556666,508785.0888984426,0.8542928044075996
410_2001,2001,41,1514,595562.5575900819,508772.8080515688,0.8542726562769425
410_2002,2002,41,1509,603869.1784309867,515412.57951252116,0.8535169502303472
410_2003,2003,41,1553,622421.6926975928,528950.0720074786,0.8498258949089553
410_2004,2004,41,1555,627380.2252215843,532700.5614891282,0.8490872680932583
410_2005,2005,41,1595,632244.122716964,535567.1982621994,0.8470892476796597
410_2006,2006,41,1618,635019.2218190009,537886.7321022819,0.84704007945069
410_2007,2007,41,1622,637598.1324912265,539911.4952537735,0.8467896434141498
410_2008,2008,41,1705,677328.9440379365,572020.0080316638,0.8445232011222388
410_2009,2009,41,1705,677328.9440379365,572020.0080316638,0.8445232011222388
410_2010,2010,41,1600,627351.9064882013,517938.47808443743,0.8255948100704119
410_2011,2011,41,1624,632658.4242379563,521913.4631556725,0.8249529970051734
410_2012,2012,41,1679,662621.6053345033,547122.6569149331,0.8256939594336585
410_2013,2013,41,1665,657143.1830911434,543452.2529615136,0.8269921486595392
410_2014,2014,41,1665,659920.2486525256,545936.3048986366,0.8272761837712513
410_2015,2015,41,1673,660299.6894058177,546121.339857691,0.8270810188463482
410_2016,2016,41,1686,662926.388924033,547899.7085846149,0.8264864964477988
410_2017,2017,41,1682,663083.0539383013,548059.4144291722,0.8265320779562075
410_2018,2018,41,1822,718736.5820156477,591665.602870382,0.8232022936846991
410_2019,2019,41,1836,725792.3186349609,596773.1253880737,0.8222367612135371
420_1994,1994,42,20846,24846451.597912382,18912578.08666226,0.7611782315125959
420_1995,1995,42,20772,24784785.22633619,18870467.251951434,0.761373039129658
420_1996,1996,42,20896,25288524.001253657,19266831.313761808,0.7618804210481668
420_1997,1997,42,21388,26105997.410400283,19851456.87234578,0.7604174841615982
420_1998,1998,42,21398,26297424.895220887,20003377.67175751,0.7606591805645878
420_1999,1999,42,21582,26750496.08359408,20336477.68480299,0.7602280578742325
420_2000,2000,42,21874,27652608.41725593,21024743.795938484,0.7603168380606912
420_2005,2005,42,23210,31340530.844329827,23752558.392354064,0.7578862818353126
420_2006,2006,42,23352,32106238.25959933,24327393.775115285,0.7577154812847539
420_2007,2007,42,23635,33364078.74556004,25280414.00337949,0.7577135336531271
420_2013,2013,42,24605,37157702.35192435,28085477.94770109,0.755845387901025
