text,counts,file
120 days,3,020_2003.xml
12-month period,3,020_2003.xml
90 days,15,020_2003.xml
21-day period,3,020_2003.xml
10 years,8,020_2003.xml
4 years,11,020_2003.xml
2-year period,3,020_2003.xml
7 years,3,020_2003.xml
30-day period,3,020_2003.xml
10 days,11,020_2003.xml
15 days,8,020_2003.xml
5 days,2,020_2003.xml
20 days,3,020_2003.xml
6 years,10,020_2003.xml
10-day period,1,020_2003.xml
45-day period,4,020_2003.xml
120-day period,1,020_2003.xml
4 business days,1,020_2003.xml
2 years,8,020_2003.xml
6 months,4,020_2003.xml
12 months,7,020_2003.xml
18 years,1,020_2003.xml
50 days,2,020_2003.xml
17 years,1,020_2003.xml
5-year period,1,020_2003.xml
5-year time period,1,020_2003.xml
15 calendar days,4,020_2003.xml
15-day period,1,020_2003.xml
45 calendar days,2,020_2003.xml
25-day period,1,020_2003.xml
25 calendar days,2,020_2003.xml
10 calendar days,2,020_2003.xml
30 calendar days,3,020_2003.xml
4 year,3,020_2003.xml
7 calendar days,2,020_2003.xml
5 calendar days,3,020_2003.xml
60 years,1,020_2003.xml
41 years,1,020_2003.xml
18 months,1,020_2003.xml
45 days,3,020_2003.xml
9 months,1,020_2003.xml
3 months,1,020_2003.xml
4 months,1,020_2003.xml
4-year period,1,020_2003.xml
10 months,1,020_2003.xml
6-month period,1,020_2003.xml
31-day period,1,020_2003.xml
3 days,2,020_2004.xml
7 days,1,020_2004.xml
5 years,14,020_2004.xml
60 days,20,020_2004.xml
3 years,7,020_2004.xml
60-day period,4,020_2004.xml
1 year,21,020_2004.xml
1-year period,2,020_2004.xml
180 days,9,020_2004.xml
36-month period,1,020_2004.xml
24-month period,1,020_2004.xml
12-month period,4,020_2004.xml
30 days,22,020_2004.xml
120 days,3,020_2004.xml
90 days,18,020_2004.xml
21-day period,3,020_2004.xml
6 years,11,020_2004.xml
10 years,8,020_2004.xml
4 years,11,020_2004.xml
2-year period,3,020_2004.xml
7 years,3,020_2004.xml
30-day period,3,020_2004.xml
10 days,11,020_2004.xml
15 days,8,020_2004.xml
5 days,2,020_2004.xml
20 days,3,020_2004.xml
10-day period,1,020_2004.xml
45-day period,4,020_2004.xml
120-day period,1,020_2004.xml
4 business days,1,020_2004.xml
2 years,8,020_2004.xml
6 months,4,020_2004.xml
12 months,7,020_2004.xml
18 years,1,020_2004.xml
50 days,2,020_2004.xml
17 years,1,020_2004.xml
5-year period,1,020_2004.xml
5-year time period,1,020_2004.xml
15 calendar days,4,020_2004.xml
15-day period,1,020_2004.xml
45 calendar days,2,020_2004.xml
25-day period,1,020_2004.xml
25 calendar days,2,020_2004.xml
4 year,3,020_2004.xml
7 calendar days,2,020_2004.xml
5 calendar days,3,020_2004.xml
60 years,1,020_2004.xml
41 years,1,020_2004.xml
30 calendar days,1,020_2004.xml
18 months,1,020_2004.xml
45 days,3,020_2004.xml
9 months,1,020_2004.xml
3 months,1,020_2004.xml
4 months,1,020_2004.xml
4-year period,1,020_2004.xml
10 months,1,020_2004.xml
6-month period,1,020_2004.xml
14 days,1,020_2004.xml
90-day period,1,020_2004.xml
31-day period,1,020_2004.xml
49 days,1,020_2005.xml
75-day period,1,020_2005.xml
10 days,12,020_2005.xml
2 days,1,020_2005.xml
3 days,3,020_2005.xml
15 days,9,020_2005.xml
45 days,4,020_2005.xml
7 days,1,020_2005.xml
5 years,15,020_2005.xml
60 days,22,020_2005.xml
3 years,7,020_2005.xml
60-day period,4,020_2005.xml
1 year,21,020_2005.xml
1-year period,2,020_2005.xml
180 days,10,020_2005.xml
36-month period,1,020_2005.xml
24-month period,1,020_2005.xml
12-month period,4,020_2005.xml
30 days,23,020_2005.xml
120 days,3,020_2005.xml
90 days,18,020_2005.xml
21-day period,3,020_2005.xml
6 years,11,020_2005.xml
10 years,8,020_2005.xml
4 years,11,020_2005.xml
2-year period,3,020_2005.xml
13 years,1,020_2005.xml
30-day period,3,020_2005.xml
5 days,2,020_2005.xml
20 days,3,020_2005.xml
10-day period,1,020_2005.xml
45-day period,4,020_2005.xml
120-day period,1,020_2005.xml
4 business days,1,020_2005.xml
2 years,8,020_2005.xml
6 months,4,020_2005.xml
12 months,7,020_2005.xml
18 years,1,020_2005.xml
50 days,2,020_2005.xml
17 years,1,020_2005.xml
5-year period,1,020_2005.xml
5-year time period,1,020_2005.xml
15 calendar days,4,020_2005.xml
15-day period,1,020_2005.xml
45 calendar days,2,020_2005.xml
25-day period,1,020_2005.xml
25 calendar days,2,020_2005.xml
4 year,3,020_2005.xml
7 calendar days,2,020_2005.xml
5 calendar days,3,020_2005.xml
60 years,1,020_2005.xml
41 years,1,020_2005.xml
7 years,1,020_2005.xml
30 calendar days,1,020_2005.xml
18 months,1,020_2005.xml
9 months,1,020_2005.xml
3 months,1,020_2005.xml
4 months,1,020_2005.xml
4-year period,1,020_2005.xml
6-month period,1,020_2005.xml
14 days,1,020_2005.xml
90-day period,1,020_2005.xml
31-day period,1,020_2005.xml
10-year period,1,020_2005.xml
49 days,1,020_2006.xml
75-day period,1,020_2006.xml
10 days,12,020_2006.xml
2 days,1,020_2006.xml
3 days,3,020_2006.xml
15 days,9,020_2006.xml
45 days,4,020_2006.xml
7 days,1,020_2006.xml
5 years,15,020_2006.xml
60 days,22,020_2006.xml
3 years,7,020_2006.xml
60-day period,4,020_2006.xml
1 year,21,020_2006.xml
1-year period,2,020_2006.xml
180 days,10,020_2006.xml
36-month period,1,020_2006.xml
24-month period,1,020_2006.xml
12-month period,4,020_2006.xml
30 days,23,020_2006.xml
120 days,3,020_2006.xml
90 days,18,020_2006.xml
21-day period,3,020_2006.xml
6 years,11,020_2006.xml
10 years,8,020_2006.xml
4 years,11,020_2006.xml
2-year period,3,020_2006.xml
13 years,1,020_2006.xml
30-day period,3,020_2006.xml
5 days,2,020_2006.xml
20 days,3,020_2006.xml
10-day period,1,020_2006.xml
45-day period,4,020_2006.xml
120-day period,1,020_2006.xml
4 business days,1,020_2006.xml
2 years,8,020_2006.xml
6 months,4,020_2006.xml
12 months,7,020_2006.xml
18 years,1,020_2006.xml
50 days,2,020_2006.xml
