text,counts,file
(20-0112-0-1-271),1,020_1994.xml
(83-4027-0-3-155),1,020_1994.xml
(69-4120-0-3-402),1,020_1994.xml
(12-4085-0-3-351),1,020_1994.xml
(51-8419-0-8-371),1,020_1994.xml
(58-4236-0-3-453),1,020_1994.xml
(58-4235-0-3-451),1,020_1994.xml
(86-4070-0-3-371),1,020_1994.xml
(69-4301-0-3-403),1,020_1994.xml
(13-4417-0-3-376),1,020_1994.xml
(89-0206-0-1-271),1,020_1994.xml
(86-4238-0-3-371),1,020_1994.xml
(75-4307-0-3-553),1,020_1994.xml
(97-4090-0-3-051),1,020_1994.xml
(14-4410-0-3-452),1,020_1994.xml
(13-1250-0-1-376),1,020_1994.xml
(86-4098-0-3-604),1,020_1994.xml
(69-4302-0-3-403),1,020_1994.xml
(71-4030-0-3-151),1,020_1994.xml
(16-4204-0-3-601),1,020_1994.xml
(69-0122-0-1-401),1,020_1994.xml
(69-4411-0-3-401),1,020_1994.xml
(12-4155-0-3-452),1,020_1994.xml
(12-4230-8-3-271),1,020_1994.xml
(12-4141-0-3-371),1,020_1994.xml
(73-4154-0-3-376),1,020_1994.xml
(73-4157-0-3-376),1,020_1994.xml
(73-4147-0-3-376),1,020_1994.xml
(73-4156-0-3-376),1,020_1994.xml
(36-4025-0-3-704),1,020_1994.xml
(36-4009-0-3-701),1,020_1994.xml
(75-0412-0-1-609),1,020_1994.xml
(12-3539-0-1-605),1,020_1994.xml
(12-3512-0-1-605),1,020_1994.xml
(75-0512-0-1-55l),1,020_1994.xml
(75-0406-0-1-609),1,020_1994.xml
(12-3510-0-1-605),1,020_1994.xml
(75-0350-0-1-550),2,020_1994.xml
(75-0391-0-1-551),1,020_1994.xml
(75-0390-0-1-551),1,020_1994.xml
(36-0160-0-1-703),1,020_1994.xml
(a),65,020_1995.xml
(b),60,020_1995.xml
(c),19,020_1995.xml
(1),431,020_1995.xml
(2),435,020_1995.xml
(3),220,020_1995.xml
(4),116,020_1995.xml
(5),75,020_1995.xml
(6),45,020_1995.xml
(7),40,020_1995.xml
(8),26,020_1995.xml
(9),18,020_1995.xml
(10),15,020_1995.xml
(11),11,020_1995.xml
(12),7,020_1995.xml
(13),6,020_1995.xml
(14),5,020_1995.xml
(15),4,020_1995.xml
(16),4,020_1995.xml
(17),4,020_1995.xml
(18),4,020_1995.xml
(19),4,020_1995.xml
(20),3,020_1995.xml
(21),3,020_1995.xml
(22),2,020_1995.xml
(23),2,020_1995.xml
(24),1,020_1995.xml
(25),1,020_1995.xml
(26),1,020_1995.xml
(27),1,020_1995.xml
(28),1,020_1995.xml
(29),1,020_1995.xml
(30),1,020_1995.xml
(1)(A),8,020_1995.xml
(B),278,020_1995.xml
(i),80,020_1995.xml
(ii),87,020_1995.xml
(d),13,020_1995.xml
(e)(1)(B),2,020_1995.xml
(A),234,020_1995.xml
(C),127,020_1995.xml
(D),58,020_1995.xml
(2)(A),12,020_1995.xml
(5)(A),5,020_1995.xml
(b)(1),8,020_1995.xml
(3)[(A),1,020_1995.xml
(iii),47,020_1995.xml
(iv),24,020_1995.xml
(I),26,020_1995.xml
(II),25,020_1995.xml
(3)(A),6,020_1995.xml
(f),2,020_1995.xml
(e),4,020_1995.xml
(ii)(I),4,020_1995.xml
(III),3,020_1995.xml
(a)(1),4,020_1995.xml
(E),27,020_1995.xml
(P),2,020_1995.xml
(F),14,020_1995.xml
(G),8,020_1995.xml
(H),7,020_1995.xml
(J),2,020_1995.xml
(K),2,020_1995.xml
(L),1,020_1995.xml
(M),1,020_1995.xml
(N),1,020_1995.xml
(O),1,020_1995.xml
(HS),4,020_1995.xml
(HWS),4,020_1995.xml
(8)(A),3,020_1995.xml
(C)(i),3,020_1995.xml
(B)(i),6,020_1995.xml
(4)(A),2,020_1995.xml
(3)(A)(i),1,020_1995.xml
(g),1,020_1995.xml
(h),6,020_1995.xml
(v),12,020_1995.xml
(vi),3,020_1995.xml
(vii),3,020_1995.xml
(viii),3,020_1995.xml
(ix),3,020_1995.xml
(x),3,020_1995.xml
(xi),2,020_1995.xml
(xii),2,020_1995.xml
(xiii),2,020_1995.xml
(xiv),2,020_1995.xml
(9)(A),1,020_1995.xml
(A)(i),3,020_1995.xml
(6)(A),4,020_1995.xml
(11)(A),1,020_1995.xml
(4)(A)(i),1,020_1995.xml
(12)(A),1,020_1995.xml
(i)(I),2,020_1995.xml
(iii)(I),1,020_1995.xml
(aa),2,020_1995.xml
(bb),2,020_1995.xml
(I)(aa),1,020_1995.xml
(I)(bb),1,020_1995.xml
(cc),1,020_1995.xml
(cumulatively),3,020_1995.xml
(36-8132-0-7-701),1,020_1995.xml
(36-4012-0-3-701),1,020_1995.xml
(36-8455-0-8-701),1,020_1995.xml
(36-4010-0-3-701),1,020_1995.xml
(36-8150-0-7-701),1,020_1995.xml
(36-0120-0-1-701),1,020_1995.xml
(36-4048-0-3-703),1,020_1995.xml
(36-4014-0-3-705),1,020_1995.xml
(36-0137-0-1-702),2,020_1995.xml
(36-0155-0-1-701),1,020_1995.xml
(36-0153-0-1-701),1,020_1995.xml
(36-0154-0-1-701),1,020_1995.xml
(14-0412-0-1-806),1,020_1995.xml
(26-8141-0-7-602),1,020_1995.xml
(89-0304-0-1-271),1,020_1995.xml
(1974),1,020_1995.xml
(89-4045-0-3-271),1,020_1995.xml
(14-2303-0-1-452),1,020_1995.xml
(14-9973-0-7-999),1,020_1995.xml
(97-0102-0-1-051),1,020_1995.xml
(20-1895-0-1-806),1,020_1995.xml
(20-5811-0-2-803),1,020_1995.xml
(11-0001-0-1-802),1,020_1995.xml
(20-9922-0-2-852),1,020_1995.xml
(60-0111-0-1-601),1,020_1995.xml
(14-2202-0-1-806),1,020_1995.xml
(20-4444-0-3-155),1,020_1995.xml
(20-1850-0-1-351),1,020_1995.xml
(60-0113-0-1-601),1,020_1995.xml
(11-8242-0-7-155),1,020_1995.xml
(75-4305-0-3-553),1,020_1995.xml
(91-0240-01-502),1,020_1995.xml
(20-5737-0-2-852),1,020_1995.xml
(95-5190-0-2-403),2,020_1995.xml
(75-4430-03-551),1,020_1995.xml
